artist,title,year,source_rank
Justin Bieber,Justice (Triple Chucks Deluxe),2022,333
Tony Bennett&Lady Gaga,Love for Sale,2022,334
Lil Nas X,Montero,2022,335
Doja Cat,Planet Her (Deluxe),2022,336
Olivia Rodrigo,Sour,2022,337
Harry Styles,Harry's House,2023,338
Adele,30,2023,339
Mary J. Blige,Good Morning Gorgeous (Deluxe),2023,340
Brandi Carlile,In These Silent Days,2023,341
Kendrick Lamar,Mr. Morale & the Big Steppers,2023,342
Coldplay,Music of the Spheres,2023,343
Beyoncé,Renaissance,2023,344
Lizzo,Special,2023,345
Bad Bunny,Un Verano Sin Ti,2023,346
ABBA,Voyage,2023,347
Taylor Swift,Midnights,2024,348
Janelle Monáe,The Age of Pleasure,2024,349
Lana Del Rey,Did You Know That There's a Tunnel Under Ocean Blvd,2024,350
Miley Cyrus,Endless Summer Vacation,2024,351
Olivia Rodrigo,Guts,2024,352
Boygenius,The Record,2024,353
SZA,SOS,2024,354
Jon Batiste,World Music Radio,2024,355
Beyoncé,Cowboy Carter,2025,356
Charli XCX,Brat,2025,357
Jacob Collier,Djesse Vol. 4,2025,358
Billie Eilish,Hit Me Hard and Soft,2025,359
André 3000,New Blue Sun,2025,360
Chappell Roan,The Rise and Fall of a Midwest Princess,2025,361
Sabrina Carpenter,Short n' Sweet,2025,362
Taylor Swift,The Tortured Poets Department,2025,363
Bad Bunny,Debí Tirar Más Fotos,2026,364
"Tyler, the Creator",Chromakopia,2026,365
Kendrick Lamar,GNX,2026,366
Clipse,Let God Sort Em Out,2026,367
Sabrina Carpenter,Man's Best Friend,2026,368
Lady Gaga,Mayhem,2026,369
Leon Thomas,Mutt,2026,370
Justin Bieber,Swag,2026,371
